,results
1511,"Sentence[29]: ""Reach  bend  twist  pull  and stoop  move  lift  or carry objects weighing less than or equal to 50 pounds  stand  sit  or walk for an extended period of time"" → [""less""/In-SK]"
1512,"Sentence[21]: ""Ready for a change Take the initiative Enjoy the Rewards  Job SummaryTransport guests to/from assigned destinations using property vehicle"" → [""initiative""/In-SK]"
1513,"Sentence[75]: ""PrintJob Description   LP Supervisor  170016V0 Job DescriptionLP SupervisorPrimary LocationCHN China Beijing Beijing Marriott Hotel NortheastView on mapPosting DateJun 27  2017Job Number170016V0Job CategoryLoss Prevention   SecurityBrandMarriott Hotels Resorts /JW MarriottScheduleFull timePosition TypeNon Management/HourlyStart Your Journey With UsMarriott International portfolio of brands includes both JW Marriott and Marriott Hotels Marriott Hotels  Marriott International s flagship brand with more than 500 global locations  is advancing the art of hosting so that our guests can travel brilliantly"" → [""Management""/In-SK, ""art""/In-SK]"
1514,"Sentence[103]: ""PrintJob Description   Restaurant Supervisors   Full Time  AM and PM Shifts Available  170017FQ Job DescriptionCheck out pictures from associates at this location  and some videos too                                                                                         Restaurant Supervisors   Full Time  AM and PM Shifts AvailablePrimary LocationUSA KY Lexington Griffin Gate Marriott Resort   SpaView on mapPosting DateOct 20  2017Job Number170017FQJob CategoryFood and Beverage   CulinaryBrandMarriott Hotels Resorts /JW MarriottScheduleFull timePosition TypeNon Management/HourlyStart Your Journey With UsMarriott International portfolio of brands includes both JW Marriott and Marriott Hotels Marriott Hotels  Marriott International s flagship brand with more than 500 global locations  is advancing the art of hosting so that our guests can travel brilliantly"" → [""Management""/In-SK, ""art""/In-SK]"
1515,"Sentence[75]: ""PrintJob Description   Cook  170016S2 Job DescriptionCookPrimary LocationCHN China Xiamen Xiamen Marriott Hotel   Conference CentreView on mapPosting DateJun 27  2017Job Number170016S2Job CategoryFood and Beverage   CulinaryBrandMarriott Hotels Resorts /JW MarriottScheduleFull timePosition TypeNon Management/HourlyStart Your Journey With UsMarriott International portfolio of brands includes both JW Marriott and Marriott Hotels Marriott Hotels  Marriott International s flagship brand with more than 500 global locations  is advancing the art of hosting so that our guests can travel brilliantly"" → [""Management""/In-SK, ""art""/In-SK]"
1516,"Sentence[264]: ""Understands employee positionswell enough to perform duties in employees  absence   Supervises banquetkitchen shift operations   Utilizes an  opendoor  policy to identify and address employee problems or concerns   Utilizes interpersonaland communication skills to lead  influence  and encourage others  advocatessound financial/business decision making  demonstrates honesty/integrity  leadsby example Maintaining Culinary Goals  Achieves and exceedsgoals including performanc oals  budget goals  team goals  etc   Develops specificgoals and plans to prioritize  organize  and accomplish your work   Manages to achieve orexceed budgeted goals Ensuring ExceptionalCustomer Service  Empowers employees toprovide excellent customer service   Improves service bycommunicating and assisting individuals to understand guest needs  providingguidance  feedback  and individual coaching when needed   Manages day to dayoperations  ensuring the quality  standards and meeting the expectations of thecustomers on a daily basis   Provides services thatare above and beyond for customer satisfaction and retention   Responds effectivelyto guest problems and complaints Managing and ConductingHuman Resource Activities  Conducts training whenappropriate   Ensures employees arecross trained to support successful daily operations   Ensures disciplinaryprocedures and documentation are completed according to Standard and Local OperatingProcedures  SOPs and LSOPs    Ensures disciplinaryprocedures and documentation support the Peer Review Process   Participates intraining staff on menu items including ingredients  preparation methods andunique tastes   Reviews staffinglevels to ensure that guest service  operational needs and financial objectivesare met   Trains employees insafety procedures AdditionalResponsibilities  Analyzes informationand evaluating results to choose the best solution and solve problems   Attends andparticipates in all pertinent meetings   Provides informationto supervisors  co workers  and subordinates by telephone  in written form e mail  or in person The Ritz Carlton is an equal opportunity employer committed tohiring a diverse workforce and sustaining an inclusive culture"" → [""communication""/In-SK, ""skills""/In-SK, ""influence""/In-SK, ""decision""/In-SK, ""making""/In-SK, ""integrity""/In-SK, ""Service""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""service""/In-SK, ""coaching""/In-SK, ""customer""/In-SK, ""satisfaction""/In-SK, ""Managing""/In-SK, ""training""/In-SK, ""documentation""/In-SK, ""documentation""/In-SK, ""service""/In-SK, ""evaluating""/In-SK]"
1517,"Sentence[326]: ""Works to continuallyimprov uest and employee satisfaction while maintaining the operating budget Must ensure sanitation and food standards are achieved CANDIDATE PROFILEEducation and Experience  High school diploma orGED  4 years of experience in the culinary  food and beverage  or relatedprofessional area OR  2 year degree from anaccredited university in Culinary Arts  Hotel and Restaurant Management  orrelated major  2 years of experience in the culinary  food and beverage  orrelated professional area CORE WORK ACTIVITIESEnsuring CulinaryStandards and Responsibilities are Met  Assists in determininghow food should be presented and creates decorative food displays   Attends daily Banquet Eventmeetings to review culinary requirements   Checks the quality ofraw and cooked food products to ensure that standards are met   Develops  designs  orcreates new applications  ideas  relationships  systems  or products  includingartistic contributions   Ensures compliancewith all Food   Beverage policies  standards and procedures   Estimates dailyBanquet Event Order production needs   Follows properhandling and right temperature of all food products   Maintains foodpreparation handling and correct storage standards   Manages BEO processincluding menu development  pricing  tracking and ordering   Manages foodquantities and plating requirements for all banquet functions   Plans food quantitiesand plating requirements for all banquet functions   Prepares and cooksfoods of all types  either on a regular basis or for special guests orfunctions   Recognizes superiorquality products  presentations and flavor   Supports proceduresfor food   beverage portion and waste controls Managing Culinary Teams  Communicatesproduction needs to key personnel   Communicates regularlywith employees to ensure performance expectations are clear   Encourages and buildsmutual trust  respect  and cooperation among team members   Ensures and maintainsthe productivity level of employees   Ensures employeesunderstand expectations and parameters   Ensures propertypolicies are administered fairly and consistently   Identifies thedevelopmental needs of others and coaching  mentoring  or otherwise helpingothers to improve their knowledge or skills   Identifies theeducational needs of others  develops formal educational or training programsor classes  and teaching or instructing others   Leads shifts whilepersonally preparing food items and executing requests based on requiredspecifications   Serves as a role modelto demonstrate appropriate behaviors   Supervises andcoordinates activities of cooks and workers engaged in food preparation   Supervises and managesemployees"" → [""Management""/In-SK, ""pricing""/In-SK, ""presentations""/In-SK, ""Managing""/In-SK, ""respect""/In-SK, ""coaching""/In-SK, ""mentoring""/In-SK, ""skills""/In-SK, ""training""/In-SK, ""teaching""/In-SK, ""requests""/In-SK]"
1518,"Sentence[28]: ""We invite you to explore The Ritz Carlton  JOB SUMMARYExhibits culinarytalents by personally performing tasks while leading the banquet food preparationstaff and managing all food related catering functions"" → [""managing""/In-SK]"
1519,"Sentence[11]: ""Accountable forcoordinating menus  purchasing  scheduling  food preparation and plating forcatering events"" → [""purchasing""/In-SK]"
1520,"Sentence[78]: ""PrintJob Description   Finance Clerk 财务文员  170017I3 Job DescriptionFinance Clerk 财务文员Primary LocationCHN China Hangzhou Hangzhou Marriott Hotel QianjiangView on mapPosting DateSep 5  2017Job Number170017I3Job CategoryFinance and AccountingBrandMarriott Hotels Resorts /JW MarriottScheduleFull timePosition TypeNon Management/HourlyStart Your Journey With UsMarriott International portfolio of brands includes both JW Marriott and Marriott Hotels Marriott Hotels  Marriott International s flagship brand with more than 500 global locations  is advancing the art of hosting so that our guests can travel brilliantly"" → [""Finance""/In-SK, ""Management""/In-SK, ""art""/In-SK]"
1521,"Sentence[21]: ""Job Description   GL Supervisor  00056293  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""fire""/In-SK]"
1522,"Sentence[199]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 00056293 GL SupervisorChina Guangdong FoshanYour new responsibilitiesAssistant of General Ledger accounting managerSupervising subordinate GL accountantsConduct financial functions Be responsible for data accuracySupervise the G/L bookkeeping  check vouchers and ensure the accuracy of bookkeepingMonitor daily personal claim processAssure timely and accurate period end closing under IFRS   PRC GAAPSupervise the preparation of statistic reports required by external authoritiesSupervise the arrangement and documentation of all of accounting vouchers and other related filesCoaching and performance evaluation to subordinatesAssessment of RIC control related to accounting partFinancial projects assigned by superiorsPerforming of Compliance process within own area of responsibilityBe responsible for other fields assigned by Accounting ManagerWhat we look forMinimum 5 years  working experience in Accounting or other related areasControl span of minimum 6 employeesMinimum 2 years of general management experienceCoaching and performance evaluation to subordinatesInternational exposure  3 month abroad business trip experienceCollege or University degree  major in Finance  Accounting or related areasWorking experience in multinational company preferredExperience with SAP system preferredAccountant qualification preferredStrong sense of responsibility and high teamwork spiritInterested in this position  If so  please apply online in our job portal"" → [""management""/In-SK, ""accounting""/In-SK, ""IFRS""/In-SK, ""documentation""/In-SK, ""accounting""/In-SK, ""evaluation""/In-SK, ""accounting""/In-SK, ""Accounting""/In-SK, ""Accounting""/In-SK, ""management""/In-SK, ""evaluation""/In-SK, ""Finance""/In-SK, ""Accounting""/In-SK, ""SAP""/In-SK, ""teamwork""/In-SK]"
1523,"Sentence[8]: ""Provide technical support when dealing with LED 2"" → [""technical""/In-SK, ""support""/In-SK]"
1524,"Sentence[27]: ""Experience as application engineer  process engineer  R D  design in related market is prefered 4 Electrical  Electronic and desigining bachelor or above degree is added advantages 5"" → [""R""/In-SK, ""design""/In-SK]"
1525,"Sentence[81]: ""Training to FAE/Sales/Dist for LED usage  driving  design  future trend  and application note 5 Cooperate with SIM AE for mock up and build up with external supplier technology 6 Work with AE and PD team for the new product development based on customer s and supplier technical development trend 7 Work with process AE/ SIM AE / CQM colleagues to support customer s questions on LED optical application  handling  assembly and process What we look for1"" → [""Training""/In-SK, ""Sales""/In-SK, ""design""/In-SK, ""mock""/In-SK, ""product""/In-SK, ""development""/In-SK, ""development""/In-SK, ""assembly""/In-SK]"
1526,"Sentence[22]: ""Job Description   Industry Application Engineer  00056959  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""fire""/In-SK]"
1527,"Sentence[18]: ""Fluent in English and Mandarin Interested in this position  If so  please apply online in our job portal"" → [""English""/In-SK]"
1528,"Sentence[28]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 00056959 Industry Application EngineerChina Jiangsu WuxiYour new responsibilities1"" → [""management""/In-SK]"
1529,"Sentence[15]: ""Evaluated method to improve and optimize LED usage in application  driving  design  future trend  3"" → [""design""/In-SK]"
1530,"Sentence[30]: ""Professional knowledge inLED Semiconductor Videowall / VMS related design rules and Application regulation/requirement Application Development   Support Circuit Board design Electrical Customer communication LED Handling and Assembly  andThermal 2"" → [""design""/In-SK, ""design""/In-SK, ""communication""/In-SK, ""Assembly""/In-SK]"
1531,"Sentence[23]: ""Job Description   ElectroMechanical Technician   Warren PA  10002451  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""fire""/In-SK]"
1532,"Sentence[266]: ""Around 60 percent of sales come from energy efficient products THIS JOB IS LOCATED IN WARREN PAEQUIPMENT USED  Testing equipment  electrical hand tools  drawings  prints  PC controllers  ladders  meters  computers  safety equipment as required  etc  Carpenters  tools  plumbers  tools  mechanics  tools  hand and power tools  some machine tools  welding equipment and miscellaneous special equipment  Hand tools furnished by incumbent JOB DESCRIPTION  1  Perform various equipment  mechanical  electrical and hydraulic maintenance duties as assigned by Supervisor  2  Analyze and repair or overhaul worn or defective equipment  replacing parts as required 3  Perform preventative maintenance on molding  assembly  packaging  auxiliary  material handling and facility equipment 4  Correct any production and/or plant equipment malfunctions and report any equipment failures   This pertains to all molding  assembly  packaging  auxiliary  material handling  plant facility equipment  a  Determine probable source of machine failures and/or other troubles from oral description or from observing machine in operation  Make any necessary adjustments to equipment to obtain desired operating results b  Disassemble equipment using manufacturer s instructions  catalogs and assembly or parts drawings as deemed necessary  Identify and replace worn  broken  or otherwise defective parts  Reassemble equipment making any adjustments necessary to attain desired operation results c  Test run equipment for a sufficient period of time to ensure proper operation after maintenance is complete 5  Move  install and maintain equipment as directed 6  Perform duties of Equipment Mechanic  A  7  Instruct  train  and/or direct less experienced employees as assigned 8  Perform each phase of the operation in full compliance with all company  state  and/or federal safety and environmental regulations"" → [""sales""/In-SK, ""energy""/In-SK, ""Testing""/In-SK, ""welding""/In-SK, ""assembly""/In-SK, ""assembly""/In-SK, ""observing""/In-SK, ""assembly""/In-SK, ""c""/In-SK, ""less""/In-SK]"
1533,"Sentence[45]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 10002451 ElectroMechanical Technician   Warren PAUS PA WarrenYour new responsibilitiesOSRAM SYLVANIA is a leading lighting manufacturer in North America and a worldwide leader in lighting solutions"" → [""management""/In-SK]"
1534,"Sentence[47]: ""Satisfactory completion of 2 years accredited formal electronics trade school or equivalent electronics training or relevant military training and at least 2 year experience in the field of Industrial Electronics within the past 5 years OSRAM SYLVANIA wishes to deal directly with our best and brightest candidates"" → [""electronics""/In-SK, ""electronics""/In-SK, ""training""/In-SK, ""training""/In-SK, ""Electronics""/In-SK]"
1535,"Sentence[9]: ""Our products feature innovative design and energy saving technology"" → [""innovative""/In-SK, ""design""/In-SK, ""energy""/In-SK]"
1536,"Sentence[124]: ""  Cooperates with internal clients  management and specialists    Identifies of business goals  objectives and needs of th eneral business environment and may create functional and technical specifications to design the application   Performs planning and design of business processes and systems   Develops recommendations for changes to improve and support business activities   May facilitate business case development  planning and initiation  responding to budget/plan changes  perform ad hoc planning requests and evaluations   Prepares KPI reports on IT project and  services portfolio What we look for  Bachelor s Degree or advanced degree   Some related experience   Solid knowledge of the theoretical foundation in a technical field or method  with a focus on growing practical experiences Interested in this position  If so  please apply online in our job portal"" → [""management""/In-SK, ""design""/In-SK, ""planning""/In-SK, ""design""/In-SK, ""planning""/In-SK, ""planning""/In-SK, ""requests""/In-SK, ""IT""/In-SK]"
1537,"Sentence[24]: ""Job Description   Functional Expert Business Analyst  FI  00055313  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""fire""/In-SK]"
1538,"Sentence[43]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 00055313 Functional Expert Business Analyst  FIChina Guangdong Foshan  HQ Your new responsibilities  Performs business process analysis in order to support through IT solutions"" → [""management""/In-SK, ""Business""/In-SK, ""business""/In-SK, ""process""/In-SK, ""analysis""/In-SK, ""IT""/In-SK]"
1539,"Sentence[114]: ""Must take NFPA 70E and NFPA 79 training and become a qualified electrical person  Will perform testing with engineers which can involve setting up  changing over equipment numerous times  maintaining consistency between samples  as well as developing new techniques and methods  Also will work closely with the machine shop to develop and build prototype fixtures for testing   What we look for Two years of Trade School  1 2 years related experience electricalStrong mechanical and analytical skills1 3 years plant experience desiredBasic Computer Skills RequiredMust be able to fulfill the physical requirements of the jobMust be well organized  detail oriented  and time orientedInterested in this position  If so  please apply online in our job portal"" → [""training""/In-SK, ""testing""/In-SK, ""testing""/In-SK, ""analytical""/In-SK, ""Skills""/In-SK]"
1540,"Sentence[37]: ""Repairs and maintenance include  but are not limited to life test racks  power supplies  lamp holders  slam tester  control panels for life test racks  corrosion test equipment  SEM room  Vibration room  and various MID pieces of equipment"" → [""SEM""/In-SK]"
1541,"Sentence[59]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 10004044 Quality Test   Measurement Technician Grade 9 1st shiftUS NH HillsboroYour new responsibilities Has the responsibility for maintaining all testing equipment utilized by the quality and life testing department as well as remote test racks located throughout the facility"" → [""management""/In-SK, ""testing""/In-SK, ""testing""/In-SK]"
1542,"Sentence[27]: ""Job Description   Quality Test   Measurement Technician Grade 9 1st shift  10004044  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""fire""/In-SK]"
1543,"Sentence[290]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 10004045 Program ManagerUS TN HendersonvilleYour new responsibilitiesJob Summary Accountable for quality  timing  and project cost and customer satisfaction related to the project  Reach the objectives of the Nomination Letter of the new business Job Responsibilities Manage and coordinate  in a team environment  the design  development  and implementation of new lighting products from concept to vehicle launch Ensure all developments follow the Constant Innovation Policy  CIP   PM Handbook and specific project requirements for Customer Ensure all project objectives are reached  Quality  Cost  Profitability  Delivery   Timing  Responsible to assess the risk of the project and then alert when QCD objectives are at risk Generate the project schedule for project   manage the activities to assure timing milestones  internal   external  are achieved Report/alert upper management of all project critical aspects  Red projects  and set up recovery plan for project Represent project in the Project Validation Committees  PVC  to report technical choices   validate the project risk identified Participate in Project Management Committees  PMC  to report progress of elevate a business related decision that may impact the project Take a leadership role in coordination of the team member activities  component management  fundamental design direction  program problem solving  and supplier management Manage the resource needs and the development workload Customer involvement from the early stages of the project phase in order to permanently maintain a strong relationship with the customer What we look forEducation  Knowledge  Skills Required Bachelor s Degree required in Engineering or related discipline Management skills with functional and/or hierarchical organization experience Requires strong communication and interpersonal skills Interested in this position  If so  please apply online in our job portal"" → [""management""/In-SK, ""project""/In-SK, ""customer""/In-SK, ""satisfaction""/In-SK, ""project""/In-SK, ""design""/In-SK, ""Innovation""/In-SK, ""project""/In-SK, ""Customer""/In-SK, ""project""/In-SK, ""project""/In-SK, ""project""/In-SK, ""project""/In-SK, ""management""/In-SK, ""project""/In-SK, ""project""/In-SK, ""project""/In-SK, ""Project""/In-SK, ""project""/In-SK, ""Project""/In-SK, ""Management""/In-SK, ""project""/In-SK, ""leadership""/In-SK, ""management""/In-SK, ""design""/In-SK, ""problem""/In-SK, ""solving""/In-SK, ""management""/In-SK, ""Customer""/In-SK, ""project""/In-SK, ""customer""/In-SK, ""Skills""/In-SK, ""Engineering""/In-SK, ""Management""/In-SK, ""skills""/In-SK, ""communication""/In-SK, ""skills""/In-SK]"
1544,"Sentence[21]: ""Job Description   Program Manager  10004045  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""fire""/In-SK]"
1545,"Sentence[152]: ""We will provide you with all the necessarytools to do your research and  in our creative work environment  you will beable to gain even more experience in your field of interest and  at the sametime  you will be able to learn about other areas Theexpertise you ll offer You know the full stack of a wireless sensor network solution from sensor data collection  local data processing  wireless networking  datatransmission  and data collection in a server You have a background working with embedded devices  like thenodes in a wireless sensor network Youhave a solid  practical experience developing and implementing large IoTwireless networks  including the system design  performance analysis  and hardwareimplementation You are ableto lead a research project and work independently  guide junior team members and solve unique and complex technical problems with minimal assistance Theresponsibilities you ll have Contribute as a technical lead in the research and development oflow power wireless network technologies"" → [""research""/In-SK, ""wireless""/In-SK, ""data""/In-SK, ""collection""/In-SK, ""data""/In-SK, ""processing""/In-SK, ""wireless""/In-SK, ""networking""/In-SK, ""data""/In-SK, ""collection""/In-SK, ""wireless""/In-SK, ""design""/In-SK, ""analysis""/In-SK, ""research""/In-SK, ""research""/In-SK, ""wireless""/In-SK]"
1546,"Sentence[66]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 10003886 Wireless Networks ExpertUS MA BeverlyYour new responsibilitiesOSRAM s Innovation center is located in Beverly  Massachusetts  25miles North of Boston  This is our NorthAmerica hub for research and innovation Our Electronic Systems team focuses on researching systems communication technologies  and advanced controls for lighting and relatedapplications"" → [""management""/In-SK, ""Wireless""/In-SK, ""Innovation""/In-SK, ""research""/In-SK, ""innovation""/In-SK, ""researching""/In-SK, ""communication""/In-SK]"
1547,"Sentence[22]: ""Job Description   Wireless Networks Expert  10003886  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""Wireless""/In-SK, ""fire""/In-SK]"
1548,"Sentence[280]: ""ZigBee  Thread  6LoWPAN  WirelessHART LoRa  NB IoT  etc   and their applications to large spaces  like warehouses oroffice buildings Guide and develop the future direction of our wireless systems byscouting  evaluating  further developing wireless technologies Perform assessments of real world solutions and file IntellectualProperty applications for well developed ideas and discoveries Serve as a mentor for junior colleagues and students  where youwill support their professional development by guiding them during the projectexecution  teaching them the best practices  and providing feedback Create andpresent conference presentations  white papers  and journal publications in thetopics of Wireless Networks  Wireless Communications  Distributed Systems Vehicular Technology  etc What we look forThequalifications we require MS or PhD in Electrical Engineering or similar field  withbackground in Wireless NetworksEngineering experience in all the communication layers  withparticular focus on Networking and Application LayersDemonstrated experience developing large IoT wireless networksMastering of at least one wireless protocol like ZigBee  Thread 6LoWPAN  WirelessHART  LoRa  NB IoTExperience in leading commercial R D projects  with awell defined goalExperience with technical team leadershipDemonstrated experience with designing and analyzing wirelessnetworksKnowledge of wireless networks performance metricsStrong experimental methodology  evaluation  and analysisHands on experience with embedded software for nodes in a wirelesssensor network  including interfaces between microcontroller  radio  andsensorsProficiency in an object oriented programming language like C/C   Python  JavaTrack record of Intellectual PropertyGoodpublication record in conferences and journalsThe bonus qualifications we desire Experience with Git  Jira  Agile methodologyKnowledge of wires network security protocols and standardsExperience of back end data collection and visualizationHands on experiences with digital serial communication  I2C  SPI UART Experience in debugging software and firmwareExperiencewith RTOS  Raspberry Pi  and ArduinoAbout OSRAMOSRAM is the  1 lighting manufacturer in North America and aglobal leader in advanced lighting solutions"" → [""IoT""/In-SK, ""wireless""/In-SK, ""evaluating""/In-SK, ""wireless""/In-SK, ""teaching""/In-SK, ""presentations""/In-SK, ""Wireless""/In-SK, ""Wireless""/In-SK, ""Electrical""/In-SK, ""Engineering""/In-SK, ""Wireless""/In-SK, ""communication""/In-SK, ""Networking""/In-SK, ""IoT""/In-SK, ""wireless""/In-SK, ""wireless""/In-SK, ""R""/In-SK, ""wireless""/In-SK, ""evaluation""/In-SK, ""network""/In-SK, ""programming""/In-SK, ""C""/In-SK, ""C""/In-SK, ""Python""/In-SK, ""Git""/In-SK, ""Jira""/In-SK, ""Agile""/In-SK, ""network""/In-SK, ""security""/In-SK, ""data""/In-SK, ""collection""/In-SK, ""communication""/In-SK]"
1549,"Sentence[88]: ""With us  you will findattractive challenges and we will provide you with opportunities for everystage of you career and programs that will enable you to further developprofessionally  Join our pioneering andmulti disciplinary research team and be part of our exciting projects We are seeking a motivated and passionate Principal Research Engineer with expertise in Low Power Wireless Networks As a Principal Research Engineeryou will lead research and technologydevelopment projects  drive allits technical features  influence its direction  and be empowered to choose thebest methods that can tackle our applications"" → [""research""/In-SK, ""motivated""/In-SK, ""Research""/In-SK, ""Wireless""/In-SK, ""Research""/In-SK, ""research""/In-SK, ""influence""/In-SK]"
1550,"Sentence[12]: ""The markets to be explored will include office  retail  industry education  etc"" → [""retail""/In-SK, ""education""/In-SK]"
1551,"Sentence[46]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 00078696 IoT Project ManagerUS MA BeverlyYour new responsibilitiesProject Developer   New Business InnovationOSRAM s Corporate Innovation center is located in Beverly Massachusetts  25 miles North of Boston"" → [""management""/In-SK, ""IoT""/In-SK, ""Innovation""/In-SK]"
1552,"Sentence[42]: ""Candidateswith an advanced degree  MS  PhD  MBA  are strongly preferred You will have a minimum of 5 yearsprofessional experience in a high tech or startup environment Prior experience in marketresearch and business development is highly desiredCandidates with experience inBusiness / Technology Innovation"" → [""business""/In-SK, ""development""/In-SK, ""Innovation""/In-SK]"
1553,"Sentence[65]: ""We are seeking an entrepreneurial  creative and business savvyindividual to join our pioneering and multi disciplinary business innovation developmentteam to explore  define and pilot next generation business opportunities As Project Developer in a newly created Projects andSolutions   Business Development team  you will help shape the company sdirection by identifying new business opportunities and leading theimplementation of pilot/demonstrator projects to test next generationtechnology solutions"" → [""entrepreneurial""/In-SK, ""business""/In-SK, ""business""/In-SK, ""innovation""/In-SK, ""business""/In-SK, ""Business""/In-SK, ""Development""/In-SK, ""business""/In-SK]"
1554,"Sentence[9]: ""This is our North America hub forresearch and innovation"" → [""innovation""/In-SK]"
1555,"Sentence[119]: ""Design Thinking  are favored Required Skills  Experience in areas such asconnected device ecosystems  lighting and beyond   IoT applications  smartenvironments  data analytics  energy management  smart grid and cloudcomputing Knowledge of a wide range of technologysolutions  including cloud based digital platforms  IoT  sensors and sensingtechnologies  LED lighting  hardware and software development  machinelearning  etc Track record as an entrepreneurexploring and developing innovative technology solutionsExpertise producing business casesand business modelsStrong ability to cooperate andinteract with technical resources to implement pilots/demonstratorsStrong presentation skills in avariety of audiences  including executive management  R D  marketing sales  finance  and external customersWillingness to travel regionallyand globally as needed International work experience is aplus Interested in this position  If so  please apply online in our job portal"" → [""Design""/In-SK, ""Skills""/In-SK, ""IoT""/In-SK, ""data""/In-SK, ""analytics""/In-SK, ""energy""/In-SK, ""management""/In-SK, ""IoT""/In-SK, ""software""/In-SK, ""development""/In-SK, ""innovative""/In-SK, ""presentation""/In-SK, ""skills""/In-SK, ""management""/In-SK, ""R""/In-SK, ""sales""/In-SK, ""finance""/In-SK]"
1556,"Sentence[22]: ""Job Description   IoT Project Manager  00078696  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""IoT""/In-SK, ""fire""/In-SK]"
1557,"Sentence[32]: ""To identify new business opportunities  you will performmarket research of various technology fields  in some cases identified by ourBusiness Units  and use Voice of the Customer input to inform and direct yourefforts"" → [""research""/In-SK]"
1558,"Sentence[21]: ""The technology areas to be explored and developed willinclude connected and tunable lighting  sensors  data analytics and other IoTapplications beyond lighting"" → [""data""/In-SK, ""analytics""/In-SK]"
1559,"Sentence[35]: ""You will also draft business models  including roadmaps for projectsolutions handoffs to Business Units What we look forRequired Educationand Experience  The position requires a Bachelor sDegree in a field like Engineering  Physics  Business  or Economics"" → [""Engineering""/In-SK, ""Economics""/In-SK]"
1560,"Sentence[68]: ""We are seeking an OperationsResearch Scientist for OSRAM Corporate Innovation s pioneering andmulti disciplinary Data Science and Analytics department The Operations Research Scientistwill be a key part of the Data Science and Analytics department within OSRAM You will develop  and implement models that significantly impacts the field ofdata analytics within OSRAM in areas such as supply chain optimization forecasting  market intelligence  manufacturing  predictive maintenance business strategy and more"" → [""Innovation""/In-SK, ""Data""/In-SK, ""Science""/In-SK, ""Analytics""/In-SK, ""Research""/In-SK, ""Data""/In-SK, ""Science""/In-SK, ""Analytics""/In-SK, ""analytics""/In-SK, ""supply""/In-SK, ""chain""/In-SK, ""forecasting""/In-SK, ""manufacturing""/In-SK, ""business""/In-SK, ""strategy""/In-SK]"
1561,"Sentence[9]: ""This is ourNorth America hub for research and innovation"" → [""research""/In-SK, ""innovation""/In-SK]"
1562,"Sentence[93]: ""hadoop  spark  hive kafka    Aminimum of 5 years of experience in implementing solutions in Java  Scala  Pythonor similar languages Experiencein developing optimization models using heuristics and metaheuristicsHands onexperience working on databases and big data technology stack  SQL is requiredExperiencewith fast prototyping using open source technologies such as R and PythonVerystrong mathematical backgroundExperiencewith data visualizationExperiencewith agile methodologiesExperiencewith key software development processes such as testing and version controlAbilityto collaborate with data scientists  software developers  and business partnersWillingness to travel regionally and globally asneededInterested in this position  If so  please apply online in our job portal"" → [""hadoop""/In-SK, ""spark""/In-SK, ""hive""/In-SK, ""kafka""/In-SK, ""Java""/In-SK, ""Scala""/In-SK, ""databases""/In-SK, ""big""/In-SK, ""data""/In-SK, ""SQL""/In-SK, ""prototyping""/In-SK, ""R""/In-SK, ""data""/In-SK, ""agile""/In-SK, ""software""/In-SK, ""development""/In-SK, ""testing""/In-SK, ""data""/In-SK, ""software""/In-SK]"
1563,"Sentence[42]: ""Our lamps  LEDs  electronic control elements and even complete light management systems guarantee more quality  more safety and more fascination 00078694 Data Scientist  Operations ResearchUS MA BeverlyYour new responsibilitiesOSRAM s Corporate Innovation centeris located in Beverly  Massachusetts  25 miles North of Boston"" → [""management""/In-SK, ""Innovation""/In-SK]"
1564,"Sentence[23]: ""Job Description   Data Scientist  Operations Research  00078694  OSRAM is a global provider of efficient lighting solutions which fire the enthusiasm of people worldwide"" → [""Research""/In-SK, ""fire""/In-SK]"
